soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments
BreeRunway,Gucci,ultimate,1931,2020-08-13 00:56:10.908000+00:00,breerunway,540,"64,642",637,11.88%,"7,490.90",190.70
BrennanHeart,Brennan Heart presents WE R Hardstyle July 2020,ultimate,9253,2020-08-13 23:59:35.914000+00:00,djbrennanheart,"1,850","242,790",690,1.97%,"4,696.40",94.05
Brent Faiyaz,Fuck The World (Summer In London),ultimate,3170000.0,2020-08-13 00:54:47.610000+00:00,brentfaiyaz,n/a,n/a,n/a,n/a,n/a,n/a
Bring Me The Horizon,Parasite Eve,ultimate,25500.0,2020-08-13 15:04:28.040000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Browny Pondis,Again,rap,308,2020-08-11 23:25:45.669000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bruits en orbite,Capsule No.16,ultimate,90,2020-08-14 03:04:36.196000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bruno Torres Remixes 10,Ozuna & Wisin - Gistro Amarillo (Bruno Torres Remix),ultimate,5502,2020-08-16 19:13:06.299000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bryde,Silence,indie,579,2020-08-11 20:13:41.542000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Burna Boy,Wonderful,rap,141000.0,2020-08-11 23:18:17.122000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bury Tomorrow,Imposter,ultimate,80,2020-08-13 03:22:38.784000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
CAMELPHAT,Hypercolour,ultimate,57900.0,2020-08-13 03:33:59.637000+00:00,camelphatmusic,"2,189","248,826","2,787",1.64%,"3,886.60",197.95
